1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
1	3	5	7	9	11	13	15	4	2	8	6	12	10	16	14
1	4	7	6	13	16	11	10	12	9	14	15	8	5	2	3
1	5	9	13	4	8	12	16	7	3	15	11	6	2	14	10
1	6	11	16	8	3	14	9	15	12	5	2	10	13	4	7
1	7	13	11	12	14	8	2	6	4	10	16	15	9	3	5
1	8	15	10	16	9	2	7	14	11	4	5	3	6	13	12
1	9	4	12	7	15	6	14	13	5	16	8	11	3	10	2
1	10	2	9	3	12	4	11	5	14	6	13	7	16	8	15
1	11	8	14	15	5	10	4	16	6	9	3	2	12	7	13
1	12	6	15	11	2	16	5	8	13	3	10	14	7	9	4
1	13	12	8	6	10	15	3	11	7	2	14	16	4	5	9
1	14	10	5	2	13	9	6	3	16	12	7	4	15	11	8
1	15	16	2	14	4	3	13	10	8	7	9	5	11	12	6
1	16	14	3	10	7	5	12	2	15	13	4	9	8	6	11
