0.01	0.4448761100000001
0.05	0.39133252500000015
0.09	0.35158852
0.13	0.3237489650000001
0.17	0.29288314499999996
0.21	0.26814573999999985
0.25	0.2439795
0.29	0.22238599000000006
0.33	0.1996299500000001
0.37	0.1834063499999999
0.41	0.16642707999999995
0.45	0.15068605000000004
0.49	0.13481323499999998
0.53	0.12088548000000002
0.57	0.1060247
0.61	0.09294517500000002
0.65	0.0807608
0.69	0.06801789000000003
0.73	0.05732070499999998
0.77	0.04618963000000001
0.81	0.03442608999999997
0.85	0.024186225000000006
0.89	0.01628134499999999
0.93	0.00805822
0.97	0.0019462950000000009
