0.01	0.44448572250000007
0.05	0.38328296250000005
0.09	0.341722525
0.13	0.3093832874999999
0.17	0.28051066249999984
0.21	0.2535515149999999
0.25	0.2292770625
0.29	0.2063207950000001
0.33	0.18454026000000007
0.37	0.16707653499999997
0.41	0.15203678750000005
0.45	0.13550571249999996
0.49	0.12084382999999996
0.53	0.10685768250000001
0.57	0.09416221
0.61	0.080764045
0.65	0.06916345000000004
0.69	0.058891537500000014
0.73	0.04834663749999999
0.77	0.038182980000000005
0.81	0.02947028499999998
0.85	0.02064066250000001
0.89	0.013085954999999991
0.93	0.006951955
0.97	0.0015906700000000006
